2024-06-16 18:03:56.922 CST,,,33101,,666eb88c.814d,1,,2024-06-16 18:03:56 CST,,0,LOG,00000,"ending log output to stderr",,"Future log output will go to log destination ""csvlog"".",,,,,,,"","postmaster"
2024-06-16 18:03:56.922 CST,,,33101,,666eb88c.814d,2,,2024-06-16 18:03:56 CST,,0,LOG,00000,"starting PostgreSQL 13.9 on x86_64-pc-linux-gnu, compiled by gcc (GCC) 8.3.1 20190311 (Red Hat 8.3.1-3), 64-bit",,,,,,,,,"","postmaster"
2024-06-16 18:03:56.923 CST,,,33101,,666eb88c.814d,3,,2024-06-16 18:03:56 CST,,0,LOG,00000,"listening on IPv6 address ""::1"", port 5432",,,,,,,,,"","postmaster"
2024-06-16 18:03:56.924 CST,,,33101,,666eb88c.814d,4,,2024-06-16 18:03:56 CST,,0,LOG,00000,"listening on IPv4 address ""127.0.0.1"", port 5432",,,,,,,,,"","postmaster"
2024-06-16 18:03:56.928 CST,,,33101,,666eb88c.814d,5,,2024-06-16 18:03:56 CST,,0,LOG,00000,"listening on Unix socket ""/tmp/.s.PGSQL.5432""",,,,,,,,,"","postmaster"
2024-06-16 18:03:56.936 CST,,,33103,,666eb88c.814f,1,,2024-06-16 18:03:56 CST,,0,LOG,00000,"database system was shut down at 2024-06-16 18:03:56 CST",,,,,,,,,"","startup"
2024-06-16 18:03:56.946 CST,,,33101,,666eb88c.814d,6,,2024-06-16 18:03:56 CST,,0,LOG,00000,"database system is ready to accept connections",,,,,,,,,"","postmaster"
2024-06-16 18:04:01.495 CST,"raingage","benchmark",33155,"127.0.0.1:47834",666eb891.8183,1,"SELECT",2024-06-16 18:04:01 CST,3/2,0,LOG,00000,"execute <unnamed>: SELECT cfg_value FROM bmsql_config  WHERE cfg_name = $1","parameters: $1 = 'warehouses'",,,,,,,,"","client backend"
2024-06-16 18:04:01.524 CST,"raingage","benchmark",33155,"127.0.0.1:47834",666eb891.8183,2,"SELECT",2024-06-16 18:04:01 CST,3/3,0,LOG,00000,"execute <unnamed>: SELECT cfg_value FROM bmsql_config  WHERE cfg_name = $1","parameters: $1 = 'nURandCLast'",,,,,,,,"","client backend"
2024-06-16 18:04:01.809 CST,"raingage","benchmark",33161,"127.0.0.1:47846",666eb891.8189,1,"BEGIN",2024-06-16 18:04:01 CST,9/2,0,LOG,00000,"execute <unnamed>: BEGIN",,,,,,,,,"","client backend"
